student_id,age,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades,gender_Female,gender_Male,gender_Other,gaming_genre_Casual,gaming_genre_FPS,gaming_genre_RPG
59,19,1.35,7.95,5.44,88.77,4.44,6.64,286.58,7.92,2,85.12,1,0,0,0,0,1
60,23,0.87,3.44,8.91,80.18,2.02,4.82,303.27,2.46,1,85.67,1,0,0,0,1,0
61,22,5.99,7.67,7.42,96.2,2.39,7.58,248.08,13.16,0,96.57122032899532,0,1,0,0,1,0
62,24,2.44,8.01,5.86,98.92,4.61,5.47,292.8,7.64,2,88.95,1,0,0,1,0,0
63,23,7.61,8.48,4.49,79.4,2.75,11.78,216.59,20.63,2,54.03650726930501,0,1,0,0,0,1
64,20,5.71,3.82,4.91,83.39,4.0,7.02,248.64,11.92,0,47.48,0,1,0,0,0,1
65,17,2.61,7.13,6.44,89.83,4.68,3.71,296.63,7.25,1,87.33,0,0,1,0,1,0
66,20,2.32,3.74,6.47,72.75,2.86,8.06,282.36,11.5,1,60.14,1,0,0,0,1,0
67,23,4.19,7.65,7.84,69.07,0.55,8.84,248.18,10.14,1,77.07,0,1,0,1,0,0
68,24,0.63,5.17,7.63,98.59,4.11,2.4,317.74,2.27,1,100.0,1,0,0,1,0,0
69,24,0.94,6.38,5.01,77.3,4.09,4.17,299.3,1.28,1,83.62,0,1,0,1,0,0
70,16,1.41,4.74,6.97,60.06,0.57,3.38,296.69,1.69,1,74.6,0,1,0,1,0,0
71,24,6.2,2.46,4.1,93.51,2.74,7.25,246.91,14.68,0,35.48,1,0,0,1,0,0
72,22,4.11,2.6,5.99,83.99,2.44,7.07,271.45,12.09,1,47.64,1,0,0,0,1,0
73,24,0.08,1.7,7.82,66.74,4.24,4.32,329.26,4.61,1,67.51,0,1,0,0,1,0
74,23,5.39,6.56,6.0,61.21,1.37,11.16,252.9,11.6,0,59.6,1,0,0,1,0,0
75,16,3.39,8.64,8.18,71.66,2.13,8.24,280.0,8.79,1,91.88,1,0,0,0,1,0
76,23,4.09,1.19,8.88,97.12,3.02,6.24,253.99,10.21,1,66.67188190516212,0,1,0,1,0,0
77,23,1.71,1.6,7.04,97.34,2.59,4.39,305.76,0.21,1,70.18,1,0,0,1,0,0
78,18,4.41,5.12,4.73,72.44,4.78,8.01,260.17,11.53,1,56.85,1,0,0,0,0,1
79,16,7.83,7.64,5.9,93.44,4.8,9.79,258.35,20.4,2,70.03082865031259,1,0,0,0,1,0
80,23,0.59,2.42,4.05,77.67,0.41,5.75,310.78,6.03,1,72.47994815879551,1,0,0,0,0,1
81,18,2.27,3.44,7.01,86.17,1.49,4.11,297.0,0.64,1,69.75,1,0,0,1,0,0
82,18,1.94,3.09,8.11,73.38,0.04,4.39,303.1,5.9,1,63.05,0,1,0,1,0,0
83,16,1.99,4.59,7.15,80.64,2.09,5.88,295.23,6.36,1,84.1,1,0,0,0,1,0
84,20,3.03,3.02,7.93,71.75,3.31,4.65,288.01,7.41,1,59.51,1,0,0,1,0,0
85,22,6.54,4.17,8.0,62.44,2.36,10.66,264.07,15.35,0,33.85,0,1,0,0,0,1
86,24,7.3,7.56,8.26,65.58,0.34,13.02,224.86,16.81,0,75.84021103153083,1,0,0,0,1,0
87,22,1.62,6.5,5.33,71.63,0.98,6.08,278.13,0.82,1,84.88,1,0,0,0,1,0
88,24,4.34,1.73,8.36,99.05,0.87,9.4,254.89,11.83,1,51.42,1,0,0,0,0,1
89,23,5.1,6.74,7.27,98.63,2.56,8.29,268.77,13.05,0,70.14,0,1,0,0,1,0
90,17,4.17,5.29,5.45,93.11,3.39,7.0,265.17,8.64,1,71.42,0,1,0,0,1,0
91,16,3.47,9.41,8.94,69.3,1.58,6.11,301.68,10.78,1,108.77322825666388,1,0,0,0,1,0
92,22,1.54,3.6,8.75,77.66,0.65,5.84,308.79,1.95,1,77.12,0,1,0,1,0,0
93,22,3.91,7.54,6.87,77.59,3.99,7.5,266.55,6.16,1,83.85,1,0,0,0,1,0
94,23,3.21,7.58,8.22,75.48,4.29,6.57,273.69,8.27,1,87.4,0,1,0,0,1,0
95,20,6.36,2.99,5.31,61.8,1.38,7.86,239.22,12.11,0,28.37,0,1,0,0,1,0
96,18,6.11,9.13,6.08,81.38,2.1,10.48,226.04,16.35,0,89.86994366733958,0,1,0,1,0,0
97,23,1.07,5.42,4.92,62.91,0.41,5.7,309.94,3.6,1,61.04,0,1,0,1,0,0
98,21,0.71,7.11,6.6,92.08,1.14,2.69,318.42,5.13,1,96.03,1,0,0,1,0,0
99,18,7.27,2.31,6.48,87.65,3.84,12.07,223.09,15.5,0,26.04,0,1,0,0,0,1
100,16,4.28,3.32,5.06,74.11,1.83,9.68,253.12,11.55,1,40.98,0,1,0,0,0,1
101,18,6.86,6.27,7.36,85.89,3.02,8.73,228.57,10.69,0,50.57,0,1,0,0,0,1
102,20,0.47,3.87,4.59,69.32,4.73,3.73,324.33,2.46,1,60.64,1,0,0,0,0,1
103,18,4.21,5.5,4.31,70.61,3.62,9.59,277.51,11.26,1,52.38,0,1,0,0,1,0
104,16,4.32,4.37,5.92,72.57,2.27,7.76,270.31,12.78,1,56.97,1,0,0,0,0,1
105,20,6.89,6.76,6.05,91.88,1.83,11.97,253.74,13.3,0,55.43,1,0,0,0,1,0
106,22,0.78,5.38,5.6,68.43,0.95,2.86,293.75,2.03,1,74.27,1,0,0,1,0,0
107,22,1.92,1.04,5.29,82.51,3.78,3.24,294.88,7.41,1,53.47,1,0,0,0,0,1
108,24,3.25,6.85,5.69,68.02,0.56,4.55,286.6,10.32,1,70.23,1,0,0,0,0,1
109,18,6.93,4.8,4.82,71.4,0.31,12.79,244.74,15.12,0,28.03,1,0,0,0,0,1
110,22,7.51,4.08,6.02,69.42,0.52,9.33,237.92,14.56,0,39.29,0,1,0,1,0,0
111,16,7.94,1.85,8.52,85.8,1.21,13.26,231.96,15.14,0,25.78,0,1,0,0,0,1
112,19,7.67,2.98,5.12,81.07,3.14,10.25,241.15,12.38,0,19.15,0,1,0,0,0,1
113,19,0.05,3.01,7.42,88.85,4.31,1.25,327.01,-0.08,1,81.44,1,0,0,0,1,0
114,20,0.38,9.42,4.71,68.8,4.96,2.58,303.9,0.57,2,100.0,0,0,1,0,1,0
115,22,1.18,4.89,5.77,60.37,3.66,4.71,301.29,8.25,1,87.7929048115807,1,0,0,0,1,0
116,22,2.79,1.38,5.61,87.22,0.73,4.32,269.57,7.04,1,45.61,0,1,0,0,1,0
117,19,6.64,2.25,8.69,64.59,1.39,12.25,250.28,15.67,0,41.83028579191895,1,0,0,1,0,0
118,22,7.14,1.71,6.14,69.85,0.66,12.64,246.27,18.34,0,20.54,0,1,0,1,0,0
119,18,1.49,6.3,7.45,72.23,0.58,3.24,289.92,5.91,1,100.0,0,1,0,0,1,0
120,21,4.96,2.68,7.01,89.87,2.84,9.65,256.68,14.69,1,51.09,0,1,0,0,1,0
121,17,7.34,5.49,4.71,85.04,4.53,10.64,214.37,16.85,0,39.84,0,1,0,0,0,1
122,24,3.71,4.33,8.7,67.37,3.42,9.62,274.27,10.33,1,61.63,1,0,0,0,0,1
123,20,0.83,8.23,5.73,83.92,4.0,2.11,301.77,2.62,2,95.807341272612,0,1,0,1,0,0
124,21,3.66,3.88,4.22,88.33,2.54,7.02,264.4,8.88,1,59.43,0,1,0,0,0,1
125,19,3.01,5.12,5.5,75.56,2.38,5.44,283.63,6.18,1,66.67,1,0,0,1,0,0
126,22,4.62,7.49,5.68,69.84,4.69,9.25,283.38,13.64,2,70.99,1,0,0,0,1,0
127,24,3.51,4.9,4.46,87.16,3.61,5.07,285.83,7.41,1,65.6,1,0,0,0,1,0
128,22,0.14,8.14,7.1,84.44,2.3,4.28,315.8,0.32,1,109.08473630488844,0,1,0,1,0,0
129,16,7.95,6.96,5.73,63.12,1.66,13.69,224.11,18.81,0,42.39,1,0,0,0,1,0
130,16,4.35,4.69,7.15,86.67,0.47,7.62,286.58,11.77,1,67.78,1,0,0,0,1,0
131,24,3.79,5.54,4.03,79.54,4.1,7.06,287.11,6.3,1,59.16,0,1,0,0,1,0
132,24,7.64,9.7,8.91,90.13,0.85,11.12,225.21,16.48,0,91.92017996885592,1,0,0,0,0,1
133,19,1.25,6.95,4.85,67.63,2.58,4.33,310.01,2.44,1,88.17,0,1,0,0,1,0
134,24,1.51,9.14,7.3,70.33,3.19,4.75,291.89,9.01,1,100.0,0,1,0,1,0,0
135,18,6.46,2.61,7.58,81.73,3.72,9.78,242.73,14.76,0,32.41,1,0,0,1,0,0
136,22,2.09,5.35,4.86,79.27,0.42,8.08,302.56,10.28,1,69.69,1,0,0,1,0,0
137,21,6.39,9.18,4.56,75.45,0.05,7.97,253.52,14.06,2,78.39667652392087,0,1,0,0,1,0
138,23,2.17,3.9,4.76,89.84,3.53,4.6,287.56,6.22,1,66.62,1,0,0,1,0,0
139,24,0.27,9.71,5.23,82.59,2.27,2.32,326.78,1.44,2,105.98646178855331,1,0,0,1,0,0
140,20,4.14,1.87,4.84,88.41,0.91,7.86,271.8,9.69,1,36.37,1,0,0,0,1,0
141,16,1.57,9.12,7.37,66.13,4.91,2.58,298.27,3.5,1,100.0,0,1,0,0,1,0
142,18,6.06,5.01,6.1,89.16,3.96,11.67,266.37,13.61,0,58.11,1,0,0,0,0,1
143,23,5.13,1.66,6.69,78.46,2.89,8.79,254.84,12.07,0,38.84,0,1,0,1,0,0
144,21,7.39,8.92,4.24,61.35,3.51,12.87,220.24,14.27,2,46.6012417873633,1,0,0,0,1,0
145,23,6.26,3.27,8.31,69.38,0.78,8.98,238.16,14.23,0,43.73,0,1,0,0,0,1
146,24,1.45,1.2,4.85,61.03,4.81,3.2,309.86,1.37,1,36.76,0,1,0,1,0,0
147,19,6.4,2.22,5.8,78.27,4.98,8.36,233.33,13.97,0,27.41,1,0,0,0,1,0
148,16,5.13,6.93,4.36,73.04,3.24,8.48,266.73,12.58,0,47.64,0,1,0,0,1,0
149,16,5.35,9.8,4.68,99.5,3.34,6.55,247.27,14.13,2,93.1874744469936,0,1,0,1,0,0
150,19,6.66,2.0,7.33,94.74,3.52,11.57,239.33,16.41,0,37.92,0,1,0,0,1,0
151,22,4.59,5.16,7.46,93.03,3.33,9.54,287.02,11.12,1,67.61,1,0,0,1,0,0
152,17,3.73,2.63,7.38,80.04,2.19,8.24,266.41,8.46,1,60.65,0,1,0,1,0,0
153,18,5.09,7.71,6.76,92.28,2.7,10.57,238.72,14.35,0,88.72625736509066,1,0,0,0,1,0
154,16,2.38,2.06,8.76,70.67,1.41,6.13,305.11,6.44,1,55.64,0,1,0,0,1,0
155,20,1.46,3.16,6.54,82.43,2.23,4.86,288.48,3.12,1,75.82,0,1,0,0,1,0
156,16,4.93,2.77,6.25,75.72,2.18,8.58,252.72,11.99,1,45.89,0,1,0,0,1,0
157,23,1.87,5.97,5.24,66.85,1.44,3.78,304.85,0.98,1,89.36176029714849,1,0,0,1,0,0
158,16,0.64,8.86,4.49,62.9,3.93,4.2,319.21,3.22,2,92.51,0,1,0,0,0,1
159,16,0.0,5.6,6.74,82.33,2.05,3.71,296.26,0.29,1,87.61,0,1,0,1,0,0
160,17,4.87,1.52,5.57,63.91,2.76,9.69,258.13,11.5,1,24.11,0,0,1,0,0,1
161,17,2.9,6.07,6.62,88.72,0.78,5.64,293.72,11.16,1,83.7,1,0,0,0,0,1
162,21,6.02,8.18,5.03,96.86,2.37,7.48,268.05,11.8,2,79.88433064435151,0,1,0,1,0,0
163,22,3.0,2.19,8.19,66.48,3.81,6.99,271.61,9.57,1,65.00348539565958,0,1,0,1,0,0
164,20,3.89,1.65,9.0,78.84,2.22,8.83,284.0,12.35,1,65.36,1,0,0,1,0,0
165,16,3.26,2.69,5.61,89.55,2.79,9.11,274.26,11.15,1,59.71,0,1,0,0,1,0
166,16,5.2,7.71,8.21,71.47,3.51,6.65,268.02,11.87,0,87.54960154278523,0,1,0,1,0,0
167,18,2.85,6.33,8.36,96.83,1.94,7.58,275.4,5.85,1,91.21,1,0,0,0,0,1
168,17,7.71,5.87,8.98,95.54,1.77,11.69,225.18,16.11,0,54.9,1,0,0,1,0,0
169,20,7.49,3.25,5.71,64.15,0.43,8.57,233.99,13.19,0,8.97,1,0,0,0,0,1
170,21,6.78,3.99,7.78,61.1,2.91,11.37,248.18,15.15,0,38.31,0,1,0,0,1,0
171,22,7.36,9.69,5.14,99.06,3.53,8.49,237.38,14.6,2,76.60309521096231,0,1,0,0,1,0
172,19,3.59,3.17,7.12,98.26,2.91,8.52,272.63,7.82,1,64.98,1,0,0,0,1,0
173,22,4.29,9.11,7.52,76.89,1.42,8.9,263.5,11.98,1,87.45,0,1,0,0,1,0
174,23,5.94,6.22,7.71,62.02,1.31,10.38,266.51,13.11,0,58.92,1,0,0,0,0,1
175,16,5.57,2.11,5.04,84.76,0.8,7.17,255.93,11.21,0,38.19,1,0,0,1,0,0
176,21,7.13,5.21,8.24,71.74,0.23,12.73,229.69,13.92,0,48.45,0,1,0,0,1,0
177,23,5.73,9.54,6.1,97.47,2.13,11.22,256.62,14.34,0,85.6199900584634,1,0,0,0,1,0
178,20,7.98,4.77,5.08,91.79,0.8,13.48,230.47,18.52,0,27.24,1,0,0,1,0,0
179,19,2.79,8.77,6.71,85.98,3.45,5.59,272.99,5.78,1,99.39,1,0,0,0,1,0
180,17,6.66,3.31,8.32,71.38,4.81,10.12,244.94,15.81,0,43.94,0,1,0,1,0,0
181,21,5.58,6.14,8.84,88.05,0.37,7.15,237.98,12.18,0,76.8165965307675,0,1,0,0,1,0
182,21,5.53,8.59,7.74,71.57,4.46,6.79,247.19,12.87,0,88.5609535265387,1,0,0,0,0,1
183,16,2.61,9.29,4.03,61.51,3.29,3.9,278.82,7.13,2,86.4,0,1,0,0,1,0
184,24,6.28,5.37,4.67,80.34,4.3,10.12,243.35,15.91,0,52.13,0,0,1,1,0,0
185,21,7.2,6.76,4.38,79.55,0.77,9.81,229.23,19.04,0,44.19,0,1,0,1,0,0
186,18,1.75,1.03,4.51,90.52,4.53,5.65,297.0,5.71,1,58.84461279165568,1,0,0,1,0,0
187,19,5.0,3.28,5.92,94.63,4.79,8.96,241.05,10.09,1,47.54,0,1,0,0,1,0
188,19,3.14,3.51,5.69,74.18,4.53,8.68,281.56,8.19,1,55.66,1,0,0,1,0,0
189,18,7.92,1.84,4.57,77.98,3.93,13.33,213.95,17.74,0,15.08,0,1,0,1,0,0
190,18,3.83,3.52,8.41,78.82,0.45,8.42,296.88,8.12,1,64.14,0,1,0,0,0,1
191,18,1.83,3.89,7.08,72.97,1.1,6.92,294.04,1.18,1,76.1,0,1,0,0,0,1
192,19,3.05,9.72,7.98,89.74,4.57,4.07,280.82,7.07,1,99.4,1,0,0,1,0,0
193,22,5.23,7.02,5.86,80.88,1.15,6.31,264.19,11.07,2,81.77816661012079,0,1,0,0,0,1
194,19,0.61,4.83,6.05,96.56,1.74,3.9,325.9,6.69,1,87.88,1,0,0,0,1,0
195,24,4.83,9.89,5.59,86.01,0.25,9.1,250.26,15.5,2,84.79,1,0,0,1,0,0
196,16,7.45,2.38,6.19,68.48,3.14,12.42,236.33,18.74,0,25.109089330088054,0,1,0,0,0,1
197,23,6.8,5.28,7.05,66.59,2.82,10.04,248.06,16.35,0,50.29,1,0,0,1,0,0
198,22,0.54,6.82,6.46,74.9,4.81,6.24,315.37,2.27,1,100.0,0,1,0,0,0,1
199,17,7.95,1.5,8.19,73.88,4.46,13.02,226.25,18.81,0,10.67,0,0,1,0,1,0
200,23,5.59,7.45,8.5,76.29,2.53,7.1,247.8,11.7,0,80.40250608471575,1,0,0,0,0,1
201,16,1.3,1.9,6.35,67.34,3.05,4.5,301.18,4.49,1,57.07,0,1,0,1,0,0
202,24,0.1,2.26,5.2,99.13,2.07,6.07,317.72,1.65,1,69.24,0,1,0,0,1,0
203,24,1.37,2.44,8.73,65.83,0.66,4.42,299.3,5.1,1,72.87,0,1,0,0,0,1
204,17,6.71,9.36,7.68,86.11,4.34,9.64,248.36,12.15,0,83.66114802329601,0,0,1,0,1,0
205,22,0.17,7.15,7.2,60.52,2.75,2.64,309.24,7.65,1,82.63,0,1,0,0,0,1
206,18,1.87,6.9,7.73,76.28,2.13,5.3,306.11,8.35,1,108.89931594795696,1,0,0,1,0,0
207,22,6.06,6.0,4.38,72.37,0.34,10.71,260.56,17.1,0,44.39,0,1,0,0,0,1
208,24,4.69,3.64,4.34,75.28,3.33,5.93,267.42,7.45,1,35.68,1,0,0,0,0,1
209,19,6.26,6.59,4.77,79.92,2.0,11.44,226.99,11.87,0,47.86,0,1,0,0,1,0
210,16,5.97,4.69,4.74,84.02,1.27,11.56,254.48,15.28,0,41.01,1,0,0,0,0,1
211,17,0.4,2.31,6.1,83.34,4.38,5.31,308.76,2.65,1,61.26,1,0,0,0,0,1
212,16,7.14,7.21,4.79,85.23,0.92,12.72,229.04,20.77,2,51.617656377514194,1,0,0,1,0,0
213,20,1.82,2.17,8.27,93.78,2.58,3.29,301.78,5.63,1,75.94975519720927,0,1,0,1,0,0
214,20,4.43,2.72,6.89,95.47,3.98,7.68,277.89,10.4,1,65.72,0,1,0,0,0,1
215,22,5.15,8.36,5.84,89.49,4.25,6.51,241.59,13.94,2,85.86751605822991,0,1,0,1,0,0
216,24,1.35,6.94,4.35,63.16,4.09,6.53,304.38,5.65,1,77.79,1,0,0,1,0,0
217,24,7.81,6.68,6.96,98.45,4.48,13.57,246.2,18.96,0,55.69,0,1,0,0,1,0
218,18,3.91,4.76,4.58,97.9,0.71,6.4,262.09,11.15,1,61.59,1,0,0,0,0,1
219,18,0.46,4.57,7.72,88.47,4.7,4.14,312.48,1.41,1,79.68,0,1,0,1,0,0
220,18,7.5,7.21,8.01,80.7,0.05,9.99,223.84,18.28,0,63.16524500862786,1,0,0,1,0,0
221,19,4.69,7.66,6.72,70.02,1.28,7.58,270.75,11.96,1,70.88,1,0,0,0,1,0
222,23,5.59,5.59,4.75,90.25,0.42,8.97,240.42,11.03,0,52.27,1,0,0,1,0,0
223,21,4.2,9.72,7.93,95.11,4.73,9.15,253.9,14.79,1,108.06139606676896,0,1,0,0,0,1
224,23,6.68,9.6,5.54,86.61,2.12,8.41,248.16,13.31,2,71.60454711361115,0,1,0,0,1,0
225,16,0.27,4.71,5.11,85.16,1.58,2.06,319.15,-1.83,1,86.37,0,1,0,1,0,0
226,23,2.15,8.39,6.35,67.72,0.84,4.16,282.34,3.75,1,100.0,0,1,0,1,0,0
227,19,3.76,5.89,8.61,74.31,0.78,5.03,274.2,6.08,1,79.72,1,0,0,0,0,1
228,16,0.61,5.61,5.49,88.93,3.07,4.83,299.86,3.72,1,81.47,1,0,0,0,1,0
229,23,5.65,1.49,8.53,60.68,0.24,7.6,261.42,15.52,0,31.58,1,0,0,1,0,0
230,19,3.15,6.17,4.27,85.65,2.97,6.34,284.98,8.39,1,71.51,0,1,0,0,0,1
231,21,2.18,9.11,4.42,90.67,3.87,6.61,286.69,9.75,2,92.52,1,0,0,0,1,0
232,23,0.03,8.02,7.49,73.39,3.01,3.27,313.84,3.81,1,100.0,1,0,0,0,1,0
233,19,5.76,8.08,4.95,63.05,4.13,11.29,246.29,8.95,2,75.26141396754363,1,0,0,0,1,0
234,18,6.67,2.44,5.58,92.76,1.33,11.52,229.21,17.56,0,26.08,0,1,0,0,0,1
235,24,3.16,4.23,4.68,65.67,0.39,5.53,295.48,6.34,1,49.13,0,1,0,0,1,0
236,18,4.51,3.1,5.66,74.83,3.6,6.16,277.51,10.87,1,49.38,0,1,0,0,1,0
237,24,1.82,3.84,5.4,88.29,4.14,7.29,294.15,6.26,1,74.69,1,0,0,1,0,0
238,17,4.98,6.22,7.68,92.68,2.51,7.96,257.09,17.02,1,68.05,1,0,0,1,0,0
239,17,0.1,4.28,7.51,94.5,4.1,3.01,307.57,2.53,1,81.72,0,1,0,0,1,0
240,17,3.91,6.05,8.77,81.22,2.29,8.96,271.47,11.51,1,79.51,0,1,0,0,1,0
241,21,5.15,4.95,7.62,79.03,0.99,6.2,263.09,12.98,0,60.33,1,0,0,0,0,1
242,18,7.35,3.58,7.47,93.93,2.37,10.61,243.61,13.35,0,39.33,1,0,0,0,1,0
243,24,3.05,1.86,7.47,82.52,1.08,7.62,274.44,10.55,1,59.64,0,1,0,0,1,0
244,19,6.12,9.03,8.41,83.15,2.36,11.36,229.71,14.43,0,93.92768602159194,1,0,0,0,1,0
245,16,4.78,1.1,5.48,77.36,0.74,10.21,252.57,10.89,1,31.23,0,0,1,1,0,0
246,19,7.42,1.01,5.5,74.91,0.93,10.75,236.52,18.15,0,6.33,1,0,0,1,0,0
247,16,3.19,8.44,7.71,79.22,4.41,8.43,281.28,6.02,1,94.69,0,1,0,1,0,0
248,20,2.55,9.97,5.14,74.59,0.58,3.73,299.32,7.57,2,94.47,1,0,0,0,0,1
249,19,7.1,7.54,8.56,73.74,1.12,9.63,235.22,15.15,0,77.56969391708812,1,0,0,1,0,0
250,23,0.39,1.14,6.67,99.75,4.98,1.44,331.48,1.1,1,57.2,0,1,0,0,0,1
251,23,1.09,3.04,5.5,73.45,2.88,2.92,291.06,-1.39,1,71.38,1,0,0,0,0,1
